0	Fields group	Management of the resource											Metadata of the artefact (description of the item)																																																				Link(s) to related resources			0
0													Artefact identity				Related entities			Artefact typology						Artefact format						Copper-plates set format								Date				Place of original exposition			Place of discovery							Place of preservation									Rights					0
0	Fields	Identifier of the resource	Origin of the metadata	DHARMA import	Editor of the metadata	Date of the edition	Contributor of the metadata	Reviewer	Date of review	Project	Corpus	Distribution rights of the metadata	Identifier of the artefact	Designation	Alternative designation	Alternative designation	Identifier(s) of the text(s)	Identifier of the conglomerate artefact	Identifier of the monument	Artefact type 1	Reuse	Artefact type 2	Material type 1	Material type 2	Iconography and decoration	Height	Width	Depth	Diameter	Circumference	Weight	Plates (observed)	Plates (estimated)	Weight other	Binding information	Preservation of seal	Sealing technique	Height (or diam.) of the seal	Width (or diam.) of the seal	CE Date	Date range	History of the artefact	Remarks	Current Availability	Place of original exposition	Place of original exposition ID	Place of discovery	Place of discovery ID	Place of discovery coordinates	Discovery event 1	Date of discovery event 1	Discovery event 2	Date of discovery event 2	Collection or place of preservation	Collection ID or place of preservation ID	Inventory number	preservation event 1	preservation event 1	preservation event 2	preservation event 2	preservation event 3	preservation event 3	Institution or private person	Distribution rights of the artefact	Identifier of the surrogate	Identifier of the digital image	Link to external repository of images	0
28		CONARTVengiCalukya000028			daba	2025-03-26				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000028							documentary-copper--plate			metal-copper_alloy		Seal: above legend, varāha (couchant?) facing proper left, with aṅkuśa in front and moon with sun above. There are two cāmaras to the left and right of the moon-and-sun, and an uncertain device above it (descending on both sides of the sun's circle), which may perhaps depict a siṁhāsana. Below legend: lotus flower at the bottom.	10.8	23.5	0.6				5			Ring hole 4.6 cm from left edge, vertically centred, diameter 1.8 cm.	yes	seal_on_binding_ring	8.2	8.2		921-922	Found in late 1871 (Hultzsch1890_01 citing Sewell). The coordinates shown here are of a village now called Edara. According to Kielhorn, the name is Eedra on the map, and the coordinates are 80° 48’ E 16° 43’ N. According to Natesa Sastri, the village is named Īḍēru and it is near Āgīrīpalle (Hultzsch: Ākiripalle). The Edara I record here, is about 5 km WNW of the exact coordinates indicated by Kielhorn, and 5 km NW of Agiripalli. The plates were discovered while ploughing, together with 00020. 2023-02-06 observed by daba		in_collection			Ēḍēru, Nuzividu Zamindari of Kistna District		16.729744256735465, 80.75325049731508	find	1871			Chennai, Government Museum, 1918/CE10	Cha.E-10 (also old accession No. 3)	Cha.E-10 (also old accession No. 3)	observed	2023-02-06						All rights reserved				28
29		CONARTVengiCalukya000029			daba	2025-03-28				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000029							documentary-copper--plate			metal-copper_alloy		Seal: above legend, varāha standing, facing proper right, with aṅkuśa above and moon above that. Below legend: lotus flower.	11.7	22.2					3			Ring hole 5.3 cm from left edge, vertically centred, diameter 1.6 cm.	yes	seal_on_binding_ring	9.5	9.5		921-927	Discovered "some twenty years" before Kielhorn's edition, in the vernacular record room of the Collector's office in Masulipatam. 2023-02-06 NOT observed by daba in Chennai		in_collection			unknown, probably Kistna district			find	1876-1880			Chennai, Government Museum	SrinivasaAyyangar1918_01: CE11	SrinivasaAyyangar1918_01: CE11	not_observed	2023-02-06						All rights reserved				29
30		CONARTVengiCalukya000030			daba	2025-04-09				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000030							documentary-copper--plate			metal-copper_alloy		Above legend: horizontal aṅkuśa, with crescent moon above. Below legend: varāha facing proper left, with sun ahead of it and the last akṣara of the legend behind. Lotus at bottom.	11	24.8					5			Ring hole 5.3 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	8.3	8.3		944-946	Found buried underground in a pot. The findspot is not the Polamūru granted in 00010, but the village granted here is probably the same as the findspot of 00070, while the findspot of these plates is far from the granted village.	The plates are described as rather thin, and as being of pure copper while the seal is bronze. The second plate is broken vertically about one third of the way from the left, with several pieces missing on both sides of the break. Lakshmana Rao believes the discovered had broken these off to test them. There are some corrosion holes on plates 3 and 4.	in_collection			Polamūru, Tanuku Taluk, Krishna District, Andhra Pradesh		16.619051254523175, 81.64066418347514	find	1921			National Museum, New Delhi	56.121/4 (a-e)	56.121/4 (a-e)								All rights reserved				30
31		CONARTVengiCalukya000031			daba	2025-04-09				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000031							documentary-copper--plate			metal-copper_alloy		Seal as reported by Lakshmana Rao: above legend: varāha facing proper left, with horizontal aṅkuśa above, moon with dot (sun?) disc above the aṅkuśa. Below the legend: lotus flower. On the seal as depicted on the accompanying plate: above legend: horizontal aṅkuśa, with crescent moon above. Below legend: varāha facing proper left, with sun ahead of it and the last akṣara of the legend behind. Lotus at bottom. Either LR describes the seal (and its legend) very inaccurately, or the plate shows the seal of 00030, the Āruṁbāka grant of Bādapa.	9.5	22.5					5			Ring hole 5 cm from left edge, vertically centred, diameter 2 cm.	yes	seal_on_binding_ring	5.3	5.3		944-946	Reportedly recorded in the Mackenzie Collection of Manuscripts around 1800, with the note that they were discovered about 15 years earlier, buried in the ground in Śrīpūṇḍi village. 2023-02-06 NOT observed by daba in Chennai		in_collection			Srīpūṇḍi, Guntur District, Andhra Pradesh		15.993706630734382, 80.67305009063341	find	1781-1790			Chennai, Government Museum	SrinivasaAyyangar1918_01: CE12	SrinivasaAyyangar1918_01: CE12	not_observed	2023-02-06						All rights reserved				31
32		CONARTVengiCalukya000032			daba	2024-07-04				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000032							documentary-copper--plate			metal-copper_alloy		The seal is poorly preserved, but a boar facing proper left can be made out above the legend, the sun and moon above the boar, and an aṅkuśa below the legend.	11.3	20.5					5			Ring hole 5.2 cm from left edge, vertically centred, diameter 1.8 cm.	yes	seal_on_binding_ring	8.3	8.3		934-945	Obtained by Sir Walter Elliot from John Morris, who is said to have acquired them from Pāgaṇavaram in the Madras Presidency. Fleet's edition puts the place name in quote marks, probably indicating that he knows of no such place and considers the record unreliable. The grant mentions Pāgunavara viṣaya, which may have been conflated with the findspot's name. However, it may just be possible that the findspot is Patha Gannavaram, located at 16.589390129892063, 81.89124331403683 only 21 km NE of the probable location of the granted village. Elliot presented the plates to the British Museum, and they have been inherited by the British Library.		in_collection			unknown			find	1821-1860			British Library	Ind Ch 21	Ind Ch 21								All rights reserved				32
33		CONARTVengiCalukya000033			daba	2024-07-05				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000033							documentary-copper--plate			metal-copper_alloy		Above legend: boar; above it, sun and moon; (proper?) left of boar: cāmara and aṅkuśa; (proper?) right of boar: cāmara; below legend: eight-petalled lotus.	11.7	23.5					3				yes	seal_on_binding_ring	5.7	5.7		934-945	Discovered while digging a mound near the village. Handed over to Hultzsch by Sewell; deposited at Sewell's request in the Madras museum no later than 1890. 2023-02-06 NOT observed by daba in Chennai		in_collection			Kolavennu, Bezvāḍa district		16.431767677555214, 80.795658311381	find	1870-1889			Chennai, Government Museum	SrinivasaAyyangar1918_01: CE13	SrinivasaAyyangar1918_01: CE13	move	1881-1890	not_observed	2023-02-06				All rights reserved				33
34		CONARTVengiCalukya000034			daba	2024-07-05				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000034							documentary-copper--plate			metal-copper_alloy		Above legend: boar facing proper left, sun and moon, two sceptres (or cāmaras or lampstands) and aṅkuśa; below legend: śaṅkha and floral device.	9.5	19.4					3			Ring hole 3.8 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	7	7		934-945	Obtained by Walter Elliot, probably from a Mr. J. C. Norris of Masulipatam. Elliot presented the plates to the British Museum, and they have been inherited by the British Library.		in_collection			unknown			find	1821-1860			British Library	Ind Ch 22	Ind Ch 22								All rights reserved				34
35		CONARTVengiCalukya000035			daba	2025-04-10				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000035							documentary-copper--plate			metal-copper_alloy		Above legend: varāha facing proper left, with sun above. Behind varāha: moon crescent; in front of varāha: aṅkuśa. Below legend: lotus flower. As represented in Fleet's drawing, the lotus is viewed from above, not from the side.	7.8	18.7					5			Ring hole 4.2 cm from left edge, vertically centred, diameter 1.7 cm.	yes	seal_on_binding_ring	6	6		945-970	Found in Yelivarru village, underground close to the surface, when a bullock's foot sunk into the ground of a path. The plates were in a large earthenware jar with a rusty iron lid, hung from an iron bar. 2023-02-06 NOT observed by daba in Chennai		in_collection			Yelivarru, Repalli Taluk, Guntur District, Andhra Pradesh		16.089614472323326, 80.64436581201667	find	1864			Chennai, Government Museum	SrinivasaAyyangar1918_01: CE15	SrinivasaAyyangar1918_01: CE15	not_observed	2023-02-06						All rights reserved				35
36		CONARTVengiCalukya000036			daba	2025-04-11				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000036							documentary-copper--plate			metal-copper_alloy		Above legend: horizontal aṅkuśa, with sun and moon above. Below legend: varāha facing proper right. Lotus at bottom.	9.5	20.3					3			Ring hole 3.6 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	6.7	6.7		945-970	Obtained by Walter Elliot, no other circumstances known.	The width reported by Fleet seems a little too low; if the height is correct and the published estampages are true to form, then the width would be expected to be 22.5 centimetres. The position of the hole and the size of the inscribed campus need to be revised if the width is indeed incorrect.	in_collection			unknown			find	1821-1860			British Library	Ind Ch 10	Ind Ch 10								All rights reserved				36
37		CONARTVengiCalukya000037			daba	2025-04-11				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000037							documentary-copper--plate			metal-copper_alloy		Above legend: aṅkuśa (horizontal?), with sun and moon above. Below legend: varāha facing proper left, with last śa of the legend behind it and the visarga of the legend in front of it. Lotus at bottom.	10.6	21					5			Ring hole 4.7 cm from left edge, vertically centred, diameter 1.6 cm.	yes	seal_on_binding_ring	7.6	7.6		945-970	Obtained by Walter Elliot, no other circumstances known.	The ring had not yet been cut when Fleet first saw the plates in 1877 or 1878, but was cut by the time he edited them in or shortly before 1902.	in_collection			unknown			find	1821-1860			British Library	Ind Ch 24	Ind Ch 24								All rights reserved				37
38		CONARTVengiCalukya000038			daba	2025-05-16				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000038							documentary-copper--plate			metal-copper_alloy		Above legend: varāha facing proper right with aṅkuśa in front and crescent behind. Below legend: lotus at bottom.	11	24.1					5			Ring hole 5.5 cm from left edge, vertically centred, diameter 2.2 cm.	yes	seal_on_binding_ring	6.4	6.4		945-970	Discovered by Venugopal Chetty at the Ramalingeswara temple in Madanur. It is not known when the plates came into the possession of the temple.	The ring had been cut and re-soldered when studied by Butterworth and Venugopal Chetty.	uncertain			Madanūr, (former) Nellore District, Andhra Pradesh		15.36221424365204, 80.1069646175184	find	1890-1904			probably returned to the temple	Hultzsch1907-1908_02: they were in the possession of Butterworth	Hultzsch1907-1908_02: they were in the possession of Butterworth								All rights reserved				38
39		CONARTVengiCalukya000039			daba	2025-08-19				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000039							documentary-copper--plate			metal-copper_alloy		Above legend: varāha facing proper left, with sun behind, moon in front and a cāmara beyond each, overlapping the rim. Below legend: lotus flower depicted from above, shown on a stalk that is a continuation of the raised rim. Aṅkuśa on proper right of the flower.	10.6	23.7					5			Ring hole 5 cm from left edge, vertically centred, diameter 1.6 cm.	yes	seal_on_binding_ring	7.8	7.8		956-958	Found while digging at unknown place in Nandigama Taluk and sent to the ASI by the collector of Bezwada. The donated village can be identified as modern Magallu, less than 6 km northeast of Nandigama town. 2023-02-06 observed by daba		in_collection			Nandigama Taluk, Krishna District, Andhra Pradesh			find	1907-1916			Chennai, Government Museum	Cha.E-20	Cha.E-20	observed	2023-02-06 						All rights reserved				39
40		CONARTVengiCalukya000040			daba	2025-05-16				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000040							documentary-copper--plate			metal-copper_alloy		Above legend: varāha facing proper left. Above varāha: horizontal crescent (proper right) and sun disc (proper left). Behind varāha: aṅkuśa slanted inward. On the two sides of the aṅkuśa-and-varāha: two mirrored cāmaras slanting inward. Below legend: expanded lotus flower pictured from above.	13.7	28.3					5			Ring hole 6 cm from left edge, vertically centred, diameter 2.2 cm.	yes	seal_on_binding_ring	8.1	8.1		945-970	The plates were found by Sewell in the record room of the District Court at Masulipatam. The place and circumstances of the original discovery are not known. 2023-02-06 observed by daba  1808 inclusion in the collection of the Assistant Archaeological Superintendent for Epigraphy, Southern Circle		in_collection			Machilīpaṭṇam, Bandar Taluk, Krishna District, Andhra Pradesh			find	1801-1884			Chennai, Government Museum	Cha.E-17	Cha.E-17	observed	2023-02-06 						All rights reserved				40
41		CONARTVengiCalukya000041			daba	2025-06-13				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000041							documentary-copper--plate			metal-copper_alloy		Above legend: varāha facing proper left, with sun above, moon behind and aṅkuśa in front. Below legend: expanded lotus flower pictured from above.	8.9	18					5			Ring hole 4.4 cm from left edge, vertically centred, diameter 1.4 cm.	yes	seal_on_binding_ring	6.4	6.4		945-970	Discovered while ploughing in a village (no name recorded) near Anaparti (Anaparthi), East Godavari district. 2023-02-12 observed by daba		in_collection			Anaparti, East Godavari District, Andhra Pradesh		16.932025002638543, 81.95686757351753	find	1946-1955			Rajahmundry, Rallabandi Subba Rao Archaeological Museum	22 (on display)	22 (on display)	observed	2023-02-12						All rights reserved				41
42		CONARTVengiCalukya000042			daba	2025-06-13				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000042							documentary-copper--plate			metal-copper_alloy		Above legend: running varāha, moon and aṅkuśa "in a line" (presumably one device behind and ahead of the boar). Below legend lotus flower.	11.3	24.5					3			Ring hole 5.3 cm from left edge, vertically centred, diameter 1.9 cm.	yes	seal_on_binding_ring	7	7		945-970	Sent to the ASI by G. V. Appa Rao Pantulu of Vizianagaram (via H. Krishna Sastri). The actual findspot and the circumstances of discovery have not been reported. According to the ASI cover sheet, "Mr. Appa Rao Pantulu will be requested to present the plates to the Govt. Museum", but no information is available on what happened to them after they were returned.		uncertain			Vizianagaram, Vizianagaram Taluk, Visakhapatnam District, Andhra Pradesh			find	1903-1912			unknown	ARIE: to be returned to G V Apparao Pantulu of Vizianagaram	ARIE: to be returned to G V Apparao Pantulu of Vizianagaram								All rights reserved				42
43		CONARTVengiCalukya000043			daba	2025-06-13				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000043							documentary-copper--plate			metal-copper_alloy		Above legend: varāha facing proper left, with sun above, moon behind and aṅkuśa in front. Below legend: expanded lotus flower pictured from above.	9.5	18.5					5			Ring hole 4 cm from left edge, vertically centred, diameter 1.6 cm.	yes	seal_on_binding_ring	6.4	6.4		945-970	Obtained by Walter Elliot, no other circumstances known.		in_collection			unknown			find	1821-1860			British Library	Ind Ch 8	Ind Ch 8								All rights reserved				43
44		CONARTVengiCalukya000044			daba	2025-07-04				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000044							documentary-copper--plate			metal-copper_alloy		Above legend: varāha facing proper right with śaṅkha (according to Kielhorn; perhaps rather a cāmara?) in front, moon above that; aṅkuśa behind varāha, and sun above. Below legend: lotus at bottom.	8.9	21					3			Ring hole 4.3 cm from left edge, vertically centred, diameter 1.4 cm.	yes	seal_on_binding_ring	6	6		945-970	The plates were found in the vernacular record room of the Collector's office in Masulipatam; nothing is known about the circumstances of their original discovery. 2023-02-06 observed by daba		in_collection			Machilīpaṭṇam, Bandar Taluk, Krishna District, Andhra Pradesh			find	1871-1880			Chennai, Government Museum, 1918/CE18	Cha.E-18	Cha.E-18	observed	2023-02-06 						All rights reserved				44
45		CONARTVengiCalukya000045			daba	2025-07-07				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000045							documentary-copper--plate			metal-copper_alloy			13.3	28				3382	4	5		Ring hole 6.5 cm from left edge, vertically centred, diameter 2 cm.	no	not applicable				945-970	Acquired by the rev. Isaac Cannaday in 1914-15 from Chilaka Satyānandam. Satyānandam, a Mādiga Christian, had found the plates (year of discovery not reported) while digging for old earth near the village Oruvakallu at the foot of a 250-foot granite boulder. The boulder is reportedly to the west of the village and has a cave with a Gaṅgā temple, and a number of mounds and ruins nearby. The village is in all probability modern Oravagallu at the recorded coordinates, which has a boulder with a Gangamma Thally cave temple on its southern side. 2023-02-06 NOT observed by daba in Chennai	The fifth plate and possibly the seal-and-ring were probably melted down by the discoverer of the plates. The extant text ends with an incomplete addendum (in the same hand as the rest of the inscription), which probably continued only very briefly on the fifth (lost) plate.	in_collection			Oruvakallu, Sattenapalle Taluk, Guntur District, Andhra Pradesh		16.594109836261907, 80.16497076062464	find	1905-1914			Chennai, Government Museum	Sridhar+Balasubramanian2011_01: EC1, acc. no. 2/18 (ARIE: belonged to Rev. Isaac Cannady, Sattenapalle)	Sridhar+Balasubramanian2011_01: EC1, acc. no. 2/18 (ARIE: belonged to Rev. Isaac Cannady, Sattenapalle)	not_observed	2023-02-06 						All rights reserved				45
46		CONARTVengiCalukya000046			daba	2025-07-22				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000046							documentary-copper--plate			metal-copper_alloy		Above legend: varāha facing proper left, with sun above, moon behind and aṅkuśa in front. Below legend: floral device. The seal is much damaged.	9.2	19.7					5			Ring hole 4.5 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	6	6		945-970	Found in the backyard of Buddharaju Venkataraju of Vandram. 2023-02-06 NOT observed by daba in Chennai		in_collection			Vandram, Bhimavaram Taluk, West Godavari District, Andhra Pradesh		16.562057519721353, 81.46905206569315	find	1900-1905			Chennai, Government Museum	SrinivasaAyyangar1918_01: CE14	SrinivasaAyyangar1918_01: CE14	not_observed	2023-02-06 						All rights reserved				46
47		CONARTVengiCalukya000047			daba	2025-10-01				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000047							documentary-copper--plate			metal-copper_alloy		Above legend: varāha facing proper left, with cāmara in front. Below legend: lotus flower viewed from above, with moon on proper right and aṅkuśa and sun on proper left.	11.5	22.4				4782	5			Ring hole 4.8 cm from left edge, vertically centred, diameter 1.8 cm.	yes	seal_on_binding_ring	8.6	8.6		945-970	Obtained by Krishna Sastri from a Muslim resident of Vemalurpadu. Circumstances of discovery not reported. 2023-02-06 observed by daba	Hultzsch's report of a thickness of 2" is probably a mistake for 1/2".	in_collection			Vēmalūrpāḍu, Guntur District, Andhra Pradesh		16.302869556659296, 80.29219958161202	find	1905-1910			Chennai, Government Museum	Cha.E-16	Cha.E-16	observed	2023-02-06 						All rights reserved				47
48		CONARTVengiCalukya000048			daba	2024-02-13				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000048							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, bracketed by two pointed objects that may be daggers or spearheads; lotus below.	5	17					3			Ring hole 2.1 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	4.6	4.6		700-702	2024-05-29 observed by sagu in Phoenix, AZ		in_collection			unknown			find	1991-2010			private collection, USA (The Melikian Collection)			observed	2024-05-29						All rights reserved				48
49		CONARTVengiCalukya000049			daba	2025-10-19				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000049							documentary-copper--plate			metal-copper_alloy		Above legend: boar passant facing proper left; aṅkuśa in front and moon behind; sun flanked by two cāmaras above. Below legend: lotus.	13.3	26.7					5			Ring hole 7 cm from left edge, vertically centred, diameter 2.2 cm.	yes	seal_on_binding_ring	8.3	8.3		1017-1019	Discovered "about seventy years" before publication, while quarrying earth for bricks in a field in Amalapuram taluk. The recorded coordinates are for Amalapuram town, where the owner lived around 1900.		uncertain			Amalapuram taluk		16.589102989154846, 82.00929503068103	find	1825-1834			unknown	Venkayya1900-1901_01: returned to the owner, Valavala Jagganna of Amalapuram	Venkayya1900-1901_01: returned to the owner, Valavala Jagganna of Amalapuram								All rights reserved				49
50		CONARTVengiCalukya000050			daba	2024-01-18				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000050							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, bracketed by two symbols that may be upward-pointing daggers; lotus below.	5.7	23.5				980	5			Ring hole 1.8 cm from left edge, vertically centred, diameter 1.1 cm.	yes	seal_on_binding_ring	4.1	4.1		682-684	Discovered "some forty years" before reporting, while digging foundations for a house, in a pot filled with paddy husk, together with the Cendalūr plates of Kumāraviṣṇu II (III). 2023-02-06 NOT observed by daba in Chennai; 1905: were in the possession of Mr. Venkayya (coming from the finder to the village's karnam to the district vakil to A. Butterworth).		in_collection			Cendalūr, Ongole Taluk, Nellore District, Andhra Pradesh (probably present-day Chandaluru, 32 km NNE of Ongole)		15.78584374636126, 80.13821300450896	find	1861-1870			Chennai, Government Museum	Sridhar+Balasubramanian2011_01: EC2, acc. no. 5/18 (ARIE: sent by the District Court Vakil of Nellore through Butterworth to Venkayya; returned to the District Court Vakil Suryanarayana Rao)	Sridhar+Balasubramanian2011_01: EC2, acc. no. 5/18 (ARIE: sent by the District Court Vakil of Nellore through Butterworth to Venkayya; returned to the District Court Vakil Suryanarayana Rao)	observed	1905	not_observed	2023-02-06 				All rights reserved				50
51		CONARTVengiCalukya000051			daba	2024-12-19				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000051							documentary-copper--plate			metal-copper_alloy		In addition to the legend, the seal depicts the sun and moon, aṅkuśa, varāha and "a picture which is not clear but looks like a svastika"; arrangement not reported.	9.9	19.5					3			Ring hole 3.9 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	2	2		892-921	Time and circumstance of discovery not known. The plates came to the Andhra Sahitya Parishad in 1916 and were sent from there to the Government Epigraphist. 2023-02-13 observed by daba	The ring and seal described by Lakshmana Rao may now be lost. It was not present when I examined the plates, which were tied with a string, in 2023. Lakshmana Rao reports different (and apparently inaccurate) dimensions for the plate. The values recorded here are my measurement. The reported dimensions of the seal (explicitly described as oval) and ring may be likewise inaccurate.	in_collection			Āndhra Sāhitya Pariṣad, Kākināḍa, Kakinada Taluk, East Godavari District, Andhra Pradesh		unknown	find	1897-1916			Kakinada, ASP Museum	73.143	73.143	observed	2023-02-13						All rights reserved				51
52		CONARTVengiCalukya000052			daba	2024-10-16				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000052							documentary-copper--plate			metal-copper_alloy		Above legend: boar facing proper left; two cāmaras above and to the outside of the boar; the sun at the top centre; crescent moon on proper right extremity, aṅkuśa on proper left extremity.below legend: lotus.	10	20.5					4	5		Ring hole 4.6 cm from left edge, vertically centred, diameter 1.9 cm.	yes	seal_on_binding_ring	7	7		1000-1011	Acquired for the Andhra Sahitya Parishad by T. Achyutarao, inspector of schools in Eluru. No discovery circumstances reported. 1973-06-03 taken over from ASP by Kakinada museum  2023-02-13 observed by daba	Krishna Rao reports the seal as lost, but this is perhaps only because he worked from estampages, and no estampage of the seal had been made. A seal, presumably the original, is present with the plates.	in_collection			unknown			find	1915			Kakinada, ASP Museum	73.144	73.144	move	1973-06-03	observed	2023-02-13				All rights reserved				52
53		CONARTVengiCalukya000053			daba	2024-01-11				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000053							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, six-petalled lotus below.	5	17.5				1166	5			Ring hole 1.3 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	5.2	5.2		672-674	Sent to the ASI by Pendyala Subrahmanya Shastri of Masulipatnam; no information on place or circumstances of discovery. 2023-02-06 NOT observed by daba in Chennai	Object dimensions in the ARIE report agree with Hultzsch1925-1926_07. Script and hole dimensions are based on measurement of the estampages.	in_collection			unknown			find	1921			Chennai, Government Museum	Sridhar+Balasubramanian2011_01: EC9, acc. no. 38/23 (ARIE: returned to owner, Pendyala Venkatasubrahmanya Sastri, National College, Bandar)	Sridhar+Balasubramanian2011_01: EC9, acc. no. 38/23 (ARIE: returned to owner, Pendyala Venkatasubrahmanya Sastri, National College, Bandar)	not_observed	2023-02-06 						All rights reserved				53
54		CONARTVengiCalukya000054			daba	2024-01-18				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000054							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	6.8	20.5					3		Plates, probably without (but possibly with) the ring and seal: 340 g.	Ring hole 1.9 cm from left edge, vertically centred, diameter 1.1 cm.	yes	seal_on_binding_ring	4	4		641-706	Found together with 00016 while digging in an unspecified village of Kistna District. Collected by Brindavanam Gopalacharlu of Ipur Ipūr, (Tenali Taluk, Guntur District).		in_collection			Kistna District, Andhra Pradesh			find	1901-1920			National Museum, New Delhi	56.151/1-3	56.151/1-3								All rights reserved				54
55		CONARTVengiCalukya000055			daba	2023-12-11				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000055							documentary-copper--plate			metal-copper_alloy		Seal: moon above, lotus below (but see remarks).	4.5	15.9				850	3			Ring hole 2.1 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	2	2		641-673	No discovery information available. The coordinates recorded are for a Chamarru now in Atchampet mandal, Palnadu district. 2023-02-09 observed by daba	As observed in 2023, the ring is broken, with about half of it lost. The surface is broken at the seal and cut opposite the seal, implying that the rest of the ring was still extant when the set was opened for study. The seal is likewise broken; it seems to have been an oval about 4 cm wide and 3 cm tall, of which only the upper part is now extant, with a probable crescent moon and possibly a sun within the crescent. Katti and Padmanabha Sastry, however, do not report any breakage and give account of an intact seal (reporting no dimensions), bearing a crescent above, a legend in the middle and a lotus at the bottom. In their account, the ring's diameter is 6 cm, which matches the inner diameter measured by me. The ARIE does not mention the seal at all, although it does report the seal legends for other Veṅgī Cālukya plates noticed in the same volumt. It is possible that the seal currently associated with the plates is not original. There is a slight chance that the seal currently associated with 00016 belonged to this set.	in_collection			Cāmaṟṟu, Prakasam District (or Guntur district or Palnadu district, probably depending on time), Achhampeta Mandalam		16.643240623383104, 80.13062728831956	find	1990			Amaravati, ASI Archaeological Museum	1048	1048	observed	2023-02-09						All rights reserved				55
56		CONARTVengiCalukya000056			daba	2023-12-04				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000056							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	7.3	17.4					3			Ring hole 2.4 cm from left edge, vertically centred, diameter 1.2 cm.	yes	seal_on_binding_ring	3	3		672-674	The three Peddāpurappāḍu sets 00056, 00057 and 00096 were discovered together while digging for earth on the outskirts of the village, and obtained by Dr. Jasti Durgaprasad of Ramachandrapuram. 2023-02-09 observed by daba	The ring is broken, with about 3/4 of it lost. The second and third plates are broken in a vertical line about 60% from the left, but all parts are extant.	in_collection			Peddāpurappāḍu		16.84386569526266, 82.15061348299032	find	1983			Kakinada, ASP Museum	no accession number	no accession number	observed	2023-02-09						All rights reserved				56
57		CONARTVengiCalukya000057			daba	2023-12-04				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000057							documentary-copper--plate			metal-copper_alloy		Seal: sun and moon (side by side) above the legend, and varāha atop a lotus below. The legend is in a curved line along the back of the boar. Damaged aṅkuśa in front (to the proper right) of the boar.	5.5	20.8					3			Ring hole 2.8 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	4	4		673-675	The three Peddāpurappāḍu sets 00056, 00057 and 00096 were discovered together while digging for earth on the outskirts of the village, and obtained by Dr. Jasti Durgaprasad of Ramachandrapuram. 2023-02-09 observed by daba	The plates are remarkably hourglass-shaped, the height being smallest in the middle of the long sides. Ring and seal were reported in ARIE as well as by PadmanabhaSastry1994_01, but not present when inspected in 2023. It seems reasonably certain that the ring and seal currently associated with 00096 (in the same museum) actually belong to this set. The ring and seal metadata recorded here are based on this assumption.	in_collection			Peddāpurappāḍu		16.84386569526266, 82.15061348299032	find	1983			Kakinada, ASP Museum	no accession number	no accession number	observed	2023-02-09						All rights reserved				57
